video_id,content_theme,published_date,like_count,view_count,comment_count,tags_count,duration_minutes,video_length_bucket,title_length,weekday,comment_rate,like_rate
KQ2a4uawQBo,Other,2024-12-20,7111.0,52864,394.0,19,1.18,Short,81,Friday,0.75,13.45
bOR7S0j_wq8,Other,2024-12-19,642.0,44300,30.0,23,3.03,Short,90,Thursday,0.07,1.45
GRM8Q-1fVJ0,Teaser,2024-12-19,3300.0,201087,101.0,30,1.25,Short,96,Thursday,0.05,1.64
b0b8WBglCHo,Teaser,2024-12-18,354.0,19642,25.0,20,1.73,Short,53,Wednesday,0.13,1.8
QCPOl_7cdnQ,Teaser,2024-12-18,3455.0,117292,130.0,20,1.68,Short,61,Wednesday,0.11,2.95
fnW94seS5Z8,Action,2024-12-18,3414.0,196599,195.0,37,10.2,Long,85,Wednesday,0.1,1.74
xoS6bREFwzI,Other,2024-12-18,202.0,8612,9.0,25,2.38,Short,90,Wednesday,0.1,2.35
OEKlIWfjgxs,Other,2024-12-17,12031.0,407963,324.0,26,8.2,Short,93,Tuesday,0.08,2.95
YvDYWdRE1QE,Other,2024-12-17,1983.0,120608,25.0,23,5.03,Short,91,Tuesday,0.02,1.64
5cWxe6yMIKE,Other,2024-12-16,2798.0,125361,94.0,28,2.02,Short,88,Monday,0.07,2.23
rtPNAdvb0vc,Other,2024-12-16,356.0,11541,13.0,13,0.52,Short,62,Monday,0.11,3.08
IsQOfF7Hft0,Other,2024-12-16,121455.0,16376809,2173.0,5,3.23,Short,85,Monday,0.01,0.74
GRQLgMJIgls,Other,2024-12-15,444.0,27703,27.0,24,1.63,Short,72,Sunday,0.1,1.6
e17KNxmDK-s,Comedy,2024-12-15,2365.0,237928,66.0,16,2.57,Short,91,Sunday,0.03,0.99
86HQHDZLs7Y,Other,2024-12-14,119509.0,2555476,578.0,11,0.85,Short,71,Saturday,0.02,4.68
nODPA-8vc_w,Comedy,2024-12-14,26761.0,2050569,417.0,16,2.3,Short,56,Saturday,0.02,1.31
UzlOXq_B_vo,Other,2024-12-14,8282.0,376138,119.0,29,7.77,Short,94,Saturday,0.03,2.2
8_ilZmLtIBo,Romance,2024-12-14,3728.0,208496,115.0,24,2.75,Short,93,Saturday,0.06,1.79
